Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
5.49	0.028314791	0.027592666	0.033337225	0.019036205	0.020682854	0.00019618227	0.032320535	
5.5	0.028217192	0.027498999	0.033244587	0.018950977	0.020646714	0.00019583261	0.032224931	
5.51	0.028120059	0.027405772	0.033152391	0.018866212	0.0206107	0.00019548419	0.032129783	
5.52	0.028023388	0.027312982	0.033060634	0.018781905	0.020574812	0.00019513701	0.032035089	
5.53	0.027927179	0.027220625	0.032969313	0.018698056	0.020539048	0.00019479107	0.031940846	
5.54	0.027831427	0.027128701	0.032878426	0.01861466	0.020503409	0.00019444635	0.031847052	
5.55	0.027736131	0.027037205	0.03278797	0.018531714	0.020467894	0.00019410285	0.031753704	
5.56	0.027641287	0.026946137	0.032697943	0.018449217	0.020432502	0.00019376056	0.0316608	
5.57	0.027546894	0.026855494	0.032608343	0.018367165	0.020397232	0.00019341947	0.031568337	
5.58	0.027452948	0.026765272	0.032519166	0.018285555	0.020362084	0.00019307959	0.031476313	
5.59	0.027359448	0.026675471	0.032430412	0.018204384	0.020327056	0.0001927409	0.031384725	
5.6	0.02726639	0.026586087	0.032342077	0.01812365	0.02029215	0.00019240339	0.03129357	
5.61	0.027173772	0.026497119	0.03225416	0.01804335	0.020257363	0.00019206707	0.031202846	
5.62	0.027081591	0.026408563	0.032166657	0.017963482	0.020222696	0.00019173192	0.031112552	
5.63	0.026989846	0.026320418	0.032079566	0.017884042	0.020188147	0.00019139793	0.031022683	
5.64	0.026898533	0.026232682	0.031992886	0.017805028	0.020153716	0.00019106511	0.030933238	
5.65	0.02680765	0.026145352	0.031906614	0.017726437	0.020119403	0.00019073345	0.030844215	
5.66	0.026717195	0.026058425	0.031820748	0.017648266	0.020085206	0.00019040293	0.030755611	
5.67	0.026627165	0.025971901	0.031735285	0.017570514	0.020051126	0.00019007356	0.030667423	
5.68	0.026537558	0.025885775	0.031650223	0.017493176	0.020017161	0.00018974533	0.03057965	
5.69	0.026448372	0.025800047	0.03156556	0.017416252	0.019983311	0.00018941823	0.030492288	
5.7	0.026359603	0.025714714	0.031481294	0.017339737	0.019949576	0.00018909225	0.030405337	
5.71	0.02627125	0.025629774	0.031397423	0.01726363	0.019915955	0.0001887674	0.030318792	
5.72	0.026183311	0.025545224	0.031313944	0.017187928	0.019882447	0.00018844366	0.030232653	
5.73	0.026095782	0.025461063	0.031230855	0.017112628	0.019849052	0.00018812103	0.030146916	
5.74	0.026008662	0.025377288	0.031148154	0.017037728	0.019815768	0.0001877995	0.030061579	
5.75	0.025921949	0.025293897	0.031065838	0.016963226	0.019782597	0.00018747907	0.029976641	
5.76	0.025835639	0.025210889	0.030983907	0.016889118	0.019749536	0.00018715973	0.029892098	
5.77	0.025749731	0.02512826	0.030902357	0.016815403	0.019716586	0.00018684148	0.029807949	
5.78	0.025664223	0.02504601	0.030821187	0.016742078	0.019683746	0.00018652431	0.029724192	
5.79	0.025579112	0.024964135	0.030740394	0.016669141	0.019651015	0.00018620821	0.029640823	
5.8	0.025494396	0.024882633	0.030659976	0.016596589	0.019618393	0.00018589319	0.029557842	
5.81	0.025410072	0.024801504	0.030579932	0.016524419	0.01958588	0.00018557923	0.029475246	
5.82	0.02532614	0.024720744	0.030500258	0.01645263	0.019553474	0.00018526632	0.029393032	
5.83	0.025242595	0.024640351	0.030420954	0.016381219	0.019521175	0.00018495448	0.029311198	
5.84	0.025159437	0.024560324	0.030342017	0.016310184	0.019488983	0.00018464367	0.029229743	
5.85	0.025076662	0.02448066	0.030263445	0.016239522	0.019456897	0.00018433392	0.029148664	
5.86	0.02499427	0.024401358	0.030185236	0.016169231	0.019424917	0.0001840252	0.029067959	
5.87	0.024912257	0.024322416	0.030107388	0.016099309	0.019393041	0.00018371751	0.028987626	
5.88	0.024830621	0.024243831	0.030029899	0.016029753	0.019361271	0.00018341085	0.028907663	
5.89	0.024749361	0.024165601	0.029952767	0.015960561	0.019329604	0.00018310521	0.028828067	
5.9	0.024668475	0.024087725	0.02987599	0.015891732	0.019298041	0.00018280059	0.028748838	
5.91	0.024587959	0.024010201	0.029799566	0.015823262	0.019266581	0.00018249699	0.028669971	
5.92	0.024507812	0.023933026	0.029723494	0.015755149	0.019235224	0.00018219439	0.028591467	
5.93	0.024428033	0.023856199	0.02964777	0.015687392	0.019203968	0.00018189279	0.028513322	
5.94	0.024348618	0.023779718	0.029572394	0.015619988	0.019172814	0.00018159218	0.028435535	
5.95	0.024269567	0.023703581	0.029497363	0.015552934	0.019141761	0.00018129258	0.028358103	
5.96	0.024190876	0.023627787	0.029422676	0.01548623	0.019110809	0.00018099395	0.028281025	
5.97	0.024112544	0.023552332	0.029348331	0.015419872	0.019079957	0.00018069631	0.028204298	
5.98	0.024034569	0.023477215	0.029274325	0.015353858	0.019049204	0.00018039965	0.028127921	
5.99	0.023956949	0.023402436	0.029200657	0.015288187	0.01901855	0.00018010396	0.028051891	
6	0.023879682	0.02332799	0.029127325	0.015222856	0.018987995	0.00017980924	0.027976208	
6.01	0.023802765	0.023253878	0.029054328	0.015157863	0.018957539	0.00017951548	0.027900868	
6.02	0.023726198	0.023180097	0.028981662	0.015093207	0.018927179	0.00017922268	0.02782587	
6.03	0.023649977	0.023106644	0.028909328	0.015028884	0.018896917	0.00017893083	0.027751211	
6.04	0.023574102	0.023033519	0.028837322	0.014964893	0.018866752	0.00017863994	0.027676891	
6.05	0.023498569	0.02296072	0.028765643	0.014901232	0.018836683	0.00017834998	0.027602907	
6.06	0.023423378	0.022888245	0.028694289	0.014837899	0.01880671	0.00017806097	0.027529257	
6.07	0.023348526	0.022816091	0.028623258	0.014774892	0.018776832	0.00017777289	0.02745594	
6.08	0.023274012	0.022744258	0.028552549	0.014712209	0.018747049	0.00017748574	0.027382953	
6.09	0.023199833	0.022672743	0.02848216	0.014649848	0.01871736	0.00017719952	0.027310295	
6.1	0.023125988	0.022601546	0.02841209	0.014587807	0.018687766	0.00017691422	0.027237964	
6.11	0.023052475	0.022530663	0.028342335	0.014526084	0.018658265	0.00017662984	0.027165958	
6.12	0.022979291	0.022460093	0.028272895	0.014464676	0.018628857	0.00017634637	0.027094275	
6.13	0.022906436	0.022389836	0.028203768	0.014403583	0.018599541	0.00017606381	0.027022913	
6.14	0.022833907	0.022319888	0.028134953	0.014342803	0.018570318	0.00017578216	0.026951872	
6.15	0.022761703	0.022250248	0.028066446	0.014282332	0.018541187	0.0001755014	0.026881148	
