Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
3.48	0.06195217	0.05939221	0.06503109	0.05107734	
3.49	0.06169407	0.05915217	0.06479065	0.05081284	
3.5	0.06143694	0.05891297	0.06455107	0.05054965	
3.51	0.06118080	0.05867461	0.06431234	0.05028777	
3.52	0.06092565	0.05843711	0.06407448	0.05002719	
3.53	0.06067150	0.05820047	0.06383749	0.04976794	
3.54	0.06041835	0.05796469	0.06360138	0.04950999	
3.55	0.06016620	0.05772978	0.06336614	0.04925335	
3.56	0.05991506	0.05749574	0.06313180	0.04899802	
3.57	0.05966493	0.05726258	0.06289834	0.04874400	
3.58	0.05941582	0.05703031	0.06266579	0.04849129	
3.59	0.05916773	0.05679892	0.06243413	0.04823989	
3.6	0.05892066	0.05656843	0.06220338	0.04798980	
3.61	0.05867462	0.05633883	0.06197353	0.04774101	
3.62	0.05842960	0.05611013	0.06174460	0.04749352	
3.63	0.05818562	0.05588233	0.06151658	0.04724734	
3.64	0.05794267	0.05565544	0.06128948	0.04700245	
3.65	0.05770075	0.05542945	0.06106330	0.04675886	
3.66	0.05745987	0.05520438	0.06083805	0.04651657	
3.67	0.05722003	0.05498022	0.06061372	0.04627557	
3.68	0.05698123	0.05475697	0.06039031	0.04603586	
3.69	0.05674346	0.05453464	0.06016784	0.04579743	
3.7	0.05650674	0.05431323	0.05994630	0.04556029	
3.71	0.05627106	0.05409273	0.05972569	0.04532443	
3.72	0.05603642	0.05387316	0.05950602	0.04508984	
3.73	0.05580282	0.05365452	0.05928728	0.04485653	
3.74	0.05557026	0.05343679	0.05906947	0.04462449	
3.75	0.05533875	0.05321999	0.05885261	0.04439372	
3.76	0.05510828	0.05300412	0.05863668	0.04416421	
3.77	0.05487885	0.05278917	0.05842169	0.04393596	
3.78	0.05465046	0.05257515	0.05820764	0.04370897	
3.79	0.05442311	0.05236205	0.05799453	0.04348322	
3.8	0.05419681	0.05214988	0.05778235	0.04325873	
3.81	0.05397154	0.05193864	0.05757112	0.04303547	
3.82	0.05374730	0.05172832	0.05736082	0.04281346	
3.83	0.05352411	0.05151893	0.05715147	0.04259268	
3.84	0.05330195	0.05131047	0.05694305	0.04237313	
3.85	0.05308082	0.05110293	0.05673556	0.04215481	
3.86	0.05286073	0.05089631	0.05652902	0.04193770	
3.87	0.05264167	0.05069062	0.05632341	0.04172182	
3.88	0.05242363	0.05048585	0.05611873	0.04150714	
3.89	0.05220663	0.05028201	0.05591498	0.04129367	
3.9	0.05199065	0.05007908	0.05571217	0.04108140	
3.91	0.05177569	0.04987707	0.05551029	0.04087033	
3.92	0.05156175	0.04967598	0.05530934	0.04066045	
3.93	0.05134883	0.04947581	0.05510932	0.04045176	
3.94	0.05113693	0.04927655	0.05491022	0.04024425	
3.95	0.05092604	0.04907820	0.05471205	0.04003792	
3.96	0.05071616	0.04888077	0.05451480	0.03983276	
3.97	0.05050729	0.04868425	0.05431847	0.03962876	
3.98	0.05029943	0.04848863	0.05412306	0.03942593	
3.99	0.05009257	0.04829392	0.05392856	0.03922425	
4	0.04988671	0.04810012	0.05373499	0.03902372	
4.01	0.04968185	0.04790722	0.05354232	0.03882434	
4.02	0.04947798	0.04771522	0.05335057	0.03862610	
4.03	0.04927511	0.04752411	0.05315972	0.03842899	
4.04	0.04907322	0.04733390	0.05296978	0.03823301	
4.05	0.04887232	0.04714459	0.05278074	0.03803816	
4.06	0.04867241	0.04695616	0.05259261	0.03784442	
4.07	0.04847347	0.04676863	0.05240537	0.03765180	
4.08	0.04827551	0.04658197	0.05221903	0.03746028	
4.09	0.04807852	0.04639621	0.05203358	0.03726986	
4.1	0.04788250	0.04621132	0.05184902	0.03708054	
4.11	0.04768744	0.04602731	0.05166535	0.03689231	
4.12	0.04749335	0.04584418	0.05148257	0.03670517	
4.13	0.04730022	0.04566192	0.05130066	0.03651910	
4.14	0.04710804	0.04548053	0.05111964	0.03633411	
4.15	0.04691682	0.04530000	0.05093949	0.03615019	
4.16	0.04672654	0.04512034	0.05076022	0.03596733	
4.17	0.04653721	0.04494154	0.05058181	0.03578552	
4.18	0.04634881	0.04476360	0.05040428	0.03560477	
4.19	0.04616136	0.04458652	0.05022761	0.03542506	
4.2	0.04597484	0.04441028	0.05005179	0.03524640	
4.21	0.04578925	0.04423490	0.04987684	0.03506877	
4.22	0.04560458	0.04406036	0.04970274	0.03489216	
4.23	0.04542084	0.04388666	0.04952949	0.03471658	
4.24	0.04523802	0.04371381	0.04935710	0.03454202	
4.25	0.04505611	0.04354179	0.04918554	0.03436847	
4.26	0.04487511	0.04337060	0.04901483	0.03419592	
4.27	0.04469501	0.04320025	0.04884495	0.03402438	
4.28	0.04451582	0.04303072	0.04867591	0.03385383	
4.29	0.04433753	0.04286201	0.04850771	0.03368427	
